0       <= x <     630; y_0     =        82.11 +     -0.000611x; Linear Approximation
4410.0  <= x <  4440.0; y_147   =     -1247.00 +      0.300000x; Piecewise Interpolation
4440.0  <= x <  4470.0; y_148   =      3193.00 +     -0.700000x; Piecewise Interpolation
4470.0  <= x <  4500.0; y_149   =     -3363.00 +      0.766667x; Piecewise Interpolation
4500.0  <= x <  4530.0; y_150   =      2937.00 +     -0.633333x; Piecewise Interpolation
4530.0  <= x <  4560.0; y_151   =      -687.00 +      0.166667x; Piecewise Interpolation
4560.0  <= x <  4590.0; y_152   =     -2511.00 +      0.566667x; Piecewise Interpolation
4590.0  <= x <  4620.0; y_153   =      3456.00 +     -0.733333x; Piecewise Interpolation
4620.0  <= x <  4650.0; y_154   =      -240.00 +      0.066667x; Piecewise Interpolation
4650.0  <= x <  4680.0; y_155   =       -85.00 +      0.033333x; Piecewise Interpolation
4680.0  <= x <  4710.0; y_156   =      -241.00 +      0.066667x; Piecewise Interpolation
4710.0  <= x <  4740.0; y_157   =       701.00 +     -0.133333x; Piecewise Interpolation
4740.0  <= x <  4770.0; y_158   =     -2933.00 +      0.633333x; Piecewise Interpolation
4770.0  <= x <  4800.0; y_159   =      2632.00 +     -0.533333x; Piecewise Interpolation
4800.0  <= x <  4830.0; y_160   =      -408.00 +      0.100000x; Piecewise Interpolation
4830.0  <= x <  4860.0; y_161   =     -2662.00 +      0.566667x; Piecewise Interpolation
4860.0  <= x <  4890.0; y_162   =      3494.00 +     -0.700000x; Piecewise Interpolation
4890.0  <= x <  4920.0; y_163   =     -2700.00 +      0.566667x; Piecewise Interpolation
4920.0  <= x <  4950.0; y_164   =        88.00 +      0.000000x; Piecewise Interpolation
4950.0  <= x <  4980.0; y_165   =      2893.00 +     -0.566667x; Piecewise Interpolation
4980.0  <= x <  5010.0; y_166   =       569.00 +     -0.100000x; Piecewise Interpolation
5010.0  <= x <  5040.0; y_167   =     -3940.00 +      0.800000x; Piecewise Interpolation
5040.0  <= x <  5070.0; y_168   =      3284.00 +     -0.633333x; Piecewise Interpolation
5070.0  <= x <  5100.0; y_169   =     -2969.00 +      0.600000x; Piecewise Interpolation
5100.0  <= x <  5130.0; y_170   =       261.00 +     -0.033333x; Piecewise Interpolation
5130.0  <= x <  5160.0; y_171   =      3339.00 +     -0.633333x; Piecewise Interpolation
5160.0  <= x <  5190.0; y_172   =      -273.00 +      0.066667x; Piecewise Interpolation
5190.0  <= x <  5220.0; y_173   =     -3214.00 +      0.633333x; Piecewise Interpolation
5220.0  <= x <  5250.0; y_174   =       962.00 +     -0.166667x; Piecewise Interpolation
5250.0  <= x <  5280.0; y_175   =      3412.00 +     -0.633333x; Piecewise Interpolation
5280.0  <= x <  5310.0; y_176   =      -460.00 +      0.100000x; Piecewise Interpolation
5310.0  <= x <  5340.0; y_177   =     -3115.00 +      0.600000x; Piecewise Interpolation
5340.0  <= x <  5370.0; y_178   =       801.00 +     -0.133333x; Piecewise Interpolation
5370.0  <= x <  5400.0; y_179   =      2770.00 +     -0.500000x; Piecewise Interpolation
5400.0  <= x <  5430.0; y_180   =      -290.00 +      0.066667x; Piecewise Interpolation
5430.0  <= x <  5460.0; y_181   =     -2824.00 +      0.533333x; Piecewise Interpolation
5460.0  <= x <  5490.0; y_182   =      -458.00 +      0.100000x; Piecewise Interpolation
5490.0  <= x <  5520.0; y_183   =      3385.00 +     -0.600000x; Piecewise Interpolation
5520.0  <= x <  5550.0; y_184   =       257.00 +     -0.033333x; Piecewise Interpolation
5550.0  <= x <  5580.0; y_185   =     -2888.00 +      0.533333x; Piecewise Interpolation
5580.0  <= x <  5610.0; y_186   =      2506.00 +     -0.433333x; Piecewise Interpolation
5610.0  <= x <  5640.0; y_187   =     -2356.00 +      0.433333x; Piecewise Interpolation
5640.0  <= x <  5670.0; y_188   =      2720.00 +     -0.466667x; Piecewise Interpolation
5670.0  <= x <  5700.0; y_189   =     -3139.00 +      0.566667x; Piecewise Interpolation
5700.0  <= x <  5730.0; y_190   =      1421.00 +     -0.233333x; Piecewise Interpolation
5730.0  <= x <  5760.0; y_191   =      2567.00 +     -0.433333x; Piecewise Interpolation
5760.0  <= x <  5790.0; y_192   =      -889.00 +      0.166667x; Piecewise Interpolation
5790.0  <= x <  5820.0; y_193   =     -1275.00 +      0.233333x; Piecewise Interpolation
5820.0  <= x <  5850.0; y_194   =      1829.00 +     -0.300000x; Piecewise Interpolation
5850.0  <= x <  5880.0; y_195   =     -2851.00 +      0.500000x; Piecewise Interpolation
5880.0  <= x <  5910.0; y_196   =       873.00 +     -0.133333x; Piecewise Interpolation
5910.0  <= x <  5940.0; y_197   =      2843.00 +     -0.466667x; Piecewise Interpolation
5940.0  <= x <  5970.0; y_198   =      -721.00 +      0.133333x; Piecewise Interpolation
5970.0  <= x <  6000.0; y_199   =     -2910.00 +      0.500000x; Piecewise Interpolation
6000.0  <= x <  6030.0; y_200   =      1890.00 +     -0.300000x; Piecewise Interpolation
6030.0  <= x <  6060.0; y_201   =      1890.00 +     -0.300000x; Piecewise Interpolation
6060.0  <= x <  6090.0; y_202   =     -2958.00 +      0.500000x; Piecewise Interpolation
6090.0  <= x <  6120.0; y_203   =      -319.00 +      0.066667x; Piecewise Interpolation
6120.0  <= x <  6150.0; y_204   =      3149.00 +     -0.500000x; Piecewise Interpolation
6150.0  <= x <  6180.0; y_205   =       484.00 +     -0.066667x; Piecewise Interpolation
6180.0  <= x <  6210.0; y_206   =      1514.00 +     -0.233333x; Piecewise Interpolation
6210.0  <= x <  6240.0; y_207   =     -5110.00 +      0.833333x; Piecewise Interpolation
6240.0  <= x <  6270.0; y_208   =      1962.00 +     -0.300000x; Piecewise Interpolation
6270.0  <= x <  6300.0; y_209   =      3216.00 +     -0.500000x; Piecewise Interpolation
6300.0  <= x <  6330.0; y_210   =     -1614.00 +      0.266667x; Piecewise Interpolation
6330.0  <= x <  6360.0; y_211   =       496.00 +     -0.066667x; Piecewise Interpolation
6360.0  <= x <  6390.0; y_212   =      -140.00 +      0.033333x; Piecewise Interpolation
6390.0  <= x <  6420.0; y_213   =     -2270.00 +      0.366667x; Piecewise Interpolation
6420.0  <= x <  6450.0; y_214   =      2010.00 +     -0.300000x; Piecewise Interpolation
6450.0  <= x <  6480.0; y_215   =     -2935.00 +      0.466667x; Piecewise Interpolation
6480.0  <= x <  6510.0; y_216   =       953.00 +     -0.133333x; Piecewise Interpolation
